         ps   /test_shiftregistersipo_4bit/button1  /test_shiftregistersipo_4bit/out4        
                    /test_shiftregistersipo_4bit/in1                                         
                     /test_shiftregistersipo_4bit/out1                                       
                       /test_shiftregistersipo_4bit/out2                                     
                         /test_shiftregistersipo_4bit/out3                                   
    1116844                                      1 0 1 0 0                          1 
    1120000                                      0 0 1 0 0                          1 
    1120534                                      0 1 1 0 0                          1 
    1124224                                      0 0 1 0 0                          1 
    1125000                                      1 0 0 1 0                          0 
    1129276                                      1 1 0 1 0                          0 
    1130000                                      0 1 0 1 0                          0 
    1134328                                      0 0 0 1 0                          0 
    1135000                                      1 0 0 0 1                          0 
    1139380                                      1 1 0 0 1                          0 
    1140000                                      0 1 0 0 1                          0 
    1144432                                      0 0 0 0 1                          0 
    1145000                                      1 0 0 0 0                          1 
    1149725                                      1 1 0 0 0                          1 
    1150000                                      0 1 0 0 0                          1 
    1155000                                      1 1 1 0 0                          0 
    1155018                                      1 0 1 0 0                          0 
    1160000                                      0 0 1 0 0                          0 
    1160311                                      0 1 1 0 0                          0 
    1165000                                      1 1 1 1 0                          0 
    1165604                                      1 0 1 1 0                          0 
    1170000                                      0 0 1 1 0                          0 
    1174379                                      0 1 1 1 0                          0 
    1175000                                      1 1 1 1 1                          0 
    1180000                                      0 1 1 1 1                          0 
    1183154                                      0 0 1 1 1                          0 
    1185000                                      1 0 0 1 1                          1 
    1190000                                      0 0 0 1 1                          1 
    1191929                                      0 1 0 1 1                          1 
    1195000                                      1 1 1 0 1                          1 
    1200000                                      0 1 1 0 1                          1 
    1200704                                      0 0 1 0 1                          1 
    1205000                                      1 0 0 1 0                          1 
    1205355                                      1 1 0 1 0                          1 
    1210000                                      0 1 0 1 0                          1 
    1210006                                      0 0 0 1 0                          1 
    1214657                                      0 1 0 1 0                          1 
    1215000                                      1 1 1 0 1                          0 
    1219308                                      1 0 1 0 1                          0 
    1220000                                      0 0 1 0 1                          0 
    1225000                                      1 0 0 1 0                          1 
    1227366                                      1 1 0 1 0                          1 
    1230000                                      0 1 0 1 0                          1 
    1235000                                      1 1 1 0 1                          0 
    1235424                                      1 0 1 0 1                          0 
    1240000                                      0 0 1 0 1                          0 
    1243482                                      0 1 1 0 1                          0 
    1245000                                      1 1 1 1 0                          1 
    1250000                                      0 1 1 1 0                          1 
    1251540                                      0 0 1 1 0                          1 
    1251861                                      0 1 1 1 0                          1 
    1252182                                      0 0 1 1 0                          1 
    1252503                                      0 1 1 1 0                          1 
    1252824                                      0 0 1 1 0                          1 
    1255000                                      1 0 0 1 1                          0 
